"p","Points:0","Points:1","Points:2"
-2.297e-24,10,75.3,-150
2.6528e-22,20,71.33,-150
5.7597e-20,30,66.42,-150
3.9217e-18,40,61.28,-150
1.0724e-16,50,55.96,-150
6.1016e-15,60,48.96,-150
1.417e-13,70,42.31,-150
-1.7219e-11,80,35.99,-150
1.197e-10,90,29.6,-150
-1.0929e-08,100,23.58,-150
4.4413e-07,110,19.46,-150
7.0267e-06,120,15.95,-150
-4.2529e-05,130,12.56,-150
0.00083941,170,6.28,-150
6.7667e-06,180,5.33,-150
7.1761e-06,190,4.55,-150
-4.8258e-07,200,3.69,-150
2.7447e-08,210,2.91,-150
-3.5845e-10,220,2.57,-150
-5.6251e-12,230,2.34,-150
7.2902e-14,240,2.58,-150
2.6217e-15,250,2.46,-150
5.7338e-17,260,2.35,-150
5.9548e-19,270,2.36,-150
1.8315e-21,280,2.75,-150
-1.5578e-22,290,3.24,-150
1.7027e-24,10,76.8,-150
1.0627e-21,20,72.83,-150
9.7146e-20,30,67.92,-150
4.8703e-18,40,62.78,-150
9.89e-17,50,57.46,-150
6.8008e-15,60,50.46,-150
4.9176e-13,70,43.81,-150
1.9166e-11,80,37.49,-150
-6.0947e-10,90,31.1,-150
3.4338e-08,100,25.08,-150
-9.5057e-07,110,20.96,-150
-1.7223e-05,120,17.45,-150
7.9475e-05,130,14.06,-150
-0.0019815,170,7.78,-150
0.00012623,180,6.83,-150
9.7757e-06,190,6.05,-150
1.7942e-07,200,5.19,-150
-2.2288e-08,210,4.41,-150
3.7224e-10,220,4.07,-150
1.582e-11,230,3.84,-150
-4.4966e-14,240,4.08,-150
-4.7364e-15,250,3.96,-150
-7.3054e-17,260,3.85,-150
-5.5854e-19,270,3.86,-150
4.0676e-21,280,4.25,-150
3.7723e-22,290,4.74,-150
-1.7507e-23,10,78.8,-150
-1.4844e-21,20,74.83,-150
-2.5375e-20,30,69.92,-150
2.7366e-18,40,64.78,-150
3.052e-16,50,59.46,-150
2.2376e-14,60,52.46,-150
6.2905e-13,70,45.81,-150
2.0096e-11,80,39.49,-150
-2.0679e-10,90,33.1,-150
-1.2741e-08,100,27.08,-150
1.3616e-07,110,22.96,-150
1.3523e-05,120,19.45,-150
-3.6194e-05,130,16.06,-150
-0.00067073,170,9.78,-150
4.409e-05,180,8.83,-150
-5.2898e-06,190,8.05,-150
5.2438e-07,200,7.19,-150
-9.5988e-09,210,6.41,-150
3.3073e-10,220,6.07,-150
-1.9758e-11,230,5.84,-150
-2.8026e-13,240,6.08,-150
1.6492e-16,250,5.96,-150
-1.2385e-16,260,5.85,-150
-3.0894e-18,270,5.86,-150
-7.4194e-20,280,6.25,-150
-1.4245e-21,290,6.74,-150
-1.1629e-24,10,83.8,-150
1.583e-23,20,79.83,-150
6.3757e-21,30,74.92,-150
5.0653e-19,40,69.78,-150
-1.4857e-17,50,64.46,-150
-3.3392e-15,60,57.46,-150
-1.613e-13,70,50.81,-150
-5.5602e-12,80,44.49,-150
-7.1799e-11,90,38.1,-150
-1.3029e-08,100,32.08,-150
1.2796e-09,110,27.96,-150
9.2685e-06,120,24.45,-150
0.00028302,130,21.06,-150
-0.0012499,170,14.78,-150
1.9418e-05,180,13.83,-150
1.0547e-05,190,13.05,-150
-4.2973e-07,200,12.19,-150
1.718e-08,210,11.41,-150
-3.3766e-10,220,11.07,-150
3.5223e-12,230,10.84,-150
-1.3374e-13,240,11.08,-150
-9.9738e-15,250,10.96,-150
-1.979e-16,260,10.85,-150
-3.1818e-18,270,10.86,-150
-4.0768e-20,280,11.25,-150
-3.1742e-22,290,11.74,-150
7.3423e-26,10,93.8,-150
3.6694e-24,20,89.83,-150
-1.6115e-22,30,84.92,-150
-3.5909e-20,40,79.78,-150
-2.1697e-18,50,74.46,-150
-3.4185e-17,60,67.46,-150
2.2286e-15,70,60.81,-150
2.8041e-13,80,54.49,-150
2.9396e-11,90,48.1,-150
1.0184e-09,100,42.08,-150
-7.2346e-08,110,37.96,-150
3.064e-06,120,34.45,-150
-0.0001025,130,31.06,-150
-0.00012182,170,24.78,-150
-1.4426e-05,180,23.83,-150
4.7427e-07,190,23.05,-150
-1.7668e-08,200,22.19,-150
-4.3374e-11,210,21.41,-150
1.2406e-11,220,21.07,-150
2.2331e-13,230,20.84,-150
4.5301e-15,240,21.08,-150
7.6823e-17,250,20.96,-150
5.4671e-19,260,20.85,-150
-1.7633e-20,270,20.86,-150
-7.5794e-23,280,21.25,-150
2.8527e-24,290,21.74,-150
