"p","Points:0","Points:1","Points:2"
-0.00029412,10,75.3,-150
0.00025256,20,71.33,-150
1.2784e-05,30,66.42,-150
0.00044051,40,61.28,-150
-0.00032144,50,55.96,-150
-0.00063716,60,48.96,-150
-0.00065075,70,42.31,-150
-0.00026964,80,35.99,-150
-0.00070611,90,29.6,-150
-0.00017002,100,23.58,-150
-0.00020155,110,19.46,-150
0.00036695,120,15.95,-150
-0.00069732,130,12.56,-150
-0.0005274,170,6.28,-150
-0.00025829,180,5.33,-150
-0.00015431,190,4.55,-150
-0.0024838,200,3.69,-150
0.0024966,210,2.91,-150
-0.0044747,220,2.57,-150
0.00031782,230,2.34,-150
-0.0019534,240,2.58,-150
0.0010804,250,2.46,-150
0.0006249,260,2.35,-150
0.001088,270,2.36,-150
0.00022747,280,2.75,-150
-0.00028269,290,3.24,-150
3.7666e-05,10,76.8,-150
0.00056616,20,72.83,-150
7.6048e-05,30,67.92,-150
8.5431e-05,40,62.78,-150
-0.00029783,50,57.46,-150
0.00070082,60,50.46,-150
-0.00023403,70,43.81,-150
-0.00043958,80,37.49,-150
-0.00044672,90,31.1,-150
0.00080329,100,25.08,-150
-0.00038741,110,20.96,-150
-8.0582e-05,120,17.45,-150
0.00016898,130,14.06,-150
0.0003859,170,7.78,-150
0.00054499,180,6.83,-150
0.00034697,190,6.05,-150
-0.0021849,200,5.19,-150
0.0021136,210,4.41,-150
-0.0034289,220,4.07,-150
4.2218e-06,230,3.84,-150
-0.0015508,240,4.08,-150
0.00070986,250,3.96,-150
0.0004662,260,3.85,-150
0.0009275,270,3.86,-150
6.2273e-05,280,4.25,-150
-0.00022638,290,4.74,-150
0.00040818,10,78.8,-150
-2.0821e-05,20,74.83,-150
0.00016615,30,69.92,-150
-0.00023518,40,64.78,-150
-0.00010854,50,59.46,-150
0.00048864,60,52.46,-150
0.00025738,70,45.81,-150
0.00015234,80,39.49,-150
-0.0004416,90,33.1,-150
1.8231e-05,100,27.08,-150
-0.00029757,110,22.96,-150
0.00018009,120,19.45,-150
7.9392e-05,130,16.06,-150
0.0023856,170,9.78,-150
-9.3953e-05,180,8.83,-150
0.0011023,190,8.05,-150
-0.0010481,200,7.19,-150
0.0013155,210,6.41,-150
-0.0018955,220,6.07,-150
-0.00031495,230,5.84,-150
-0.001111,240,6.08,-150
1.2191e-05,250,5.96,-150
0.0002282,260,5.85,-150
0.00062819,270,5.86,-150
1.4517e-05,280,6.25,-150
-0.00020094,290,6.74,-150
6.1373e-05,10,83.8,-150
-9.0309e-07,20,79.83,-150
-8.0695e-05,30,74.92,-150
0.00028422,40,69.78,-150
-5.8516e-05,50,64.46,-150
-0.0002347,60,57.46,-150
-3.3874e-05,70,50.81,-150
-0.00053113,80,44.49,-150
-0.00031659,90,38.1,-150
0.00051214,100,32.08,-150
0.00059091,110,27.96,-150
0.0005792,120,24.45,-150
-0.00041616,130,21.06,-150
-0.0013901,170,14.78,-150
-0.00074447,180,13.83,-150
-5.2159e-06,190,13.05,-150
-0.00029691,200,12.19,-150
-0.00028011,210,11.41,-150
0.0011766,220,11.07,-150
-0.0017179,230,10.84,-150
-0.00052195,240,11.08,-150
-0.00043233,250,10.96,-150
8.2283e-05,260,10.85,-150
0.00011434,270,10.86,-150
0.00047017,280,11.25,-150
-0.00017974,290,11.74,-150
-0.0003188,10,93.8,-150
6.9877e-05,20,89.83,-150
0.00055537,30,84.92,-150
0.00032502,40,79.78,-150
0.00058172,50,74.46,-150
4.217e-05,60,67.46,-150
6.2507e-05,70,60.81,-150
0.00034172,80,54.49,-150
0.00093855,90,48.1,-150
-0.00053085,100,42.08,-150
0.0022165,110,37.96,-150
0.0027163,120,34.45,-150
-0.0021475,130,31.06,-150
0.00023415,170,24.78,-150
-0.0012714,180,23.83,-150
-5.7091e-05,190,23.05,-150
-0.002021,200,22.19,-150
0.00093738,210,21.41,-150
-0.00074922,220,21.07,-150
-0.00040682,230,20.84,-150
-0.00065641,240,21.08,-150
0.00066726,250,20.96,-150
0.00061834,260,20.85,-150
0.0012835,270,20.86,-150
0.00084804,280,21.25,-150
-0.0002045,290,21.74,-150
