"p","Points:0","Points:1","Points:2"
0.00036389,10,75.3,-150
0.00014519,20,71.33,-150
9.5964e-05,30,66.42,-150
0.00019985,40,61.28,-150
0.00030206,50,55.96,-150
0.00044931,60,48.96,-150
-4.8323e-05,70,42.31,-150
0.00055955,80,35.99,-150
1.0473e-05,90,29.6,-150
-0.00024734,100,23.58,-150
0.00068307,110,19.46,-150
-7.3918e-05,120,15.95,-150
-0.00036343,130,12.56,-150
0.0017062,170,6.28,-150
0.00087096,180,5.33,-150
7.7396e-05,190,4.55,-150
0.0001922,200,3.69,-150
0.0055181,210,2.91,-150
-0.0021799,220,2.57,-150
0.0013803,230,2.34,-150
-0.0037519,240,2.58,-150
0.0012344,250,2.46,-150
-0.0020032,260,2.35,-150
-0.00045052,270,2.36,-150
0.00101,280,2.75,-150
-0.00052844,290,3.24,-150
0.00036013,10,76.8,-150
-5.5456e-05,20,72.83,-150
-0.00040126,30,67.92,-150
-5.782e-05,40,62.78,-150
-0.00041031,50,57.46,-150
0.00021931,60,50.46,-150
0.00059069,70,43.81,-150
0.00037311,80,37.49,-150
-0.00038059,90,31.1,-150
0.00070491,100,25.08,-150
-0.00029706,110,20.96,-150
0.00022114,120,17.45,-150
0.00065198,130,14.06,-150
-0.002346,170,7.78,-150
-0.0014349,180,6.83,-150
-0.00076135,190,6.05,-150
-7.0907e-05,200,5.19,-150
0.0041328,210,4.41,-150
-0.0016055,220,4.07,-150
0.0016849,230,3.84,-150
-0.0027447,240,4.08,-150
0.00091539,250,3.96,-150
-0.0016499,260,3.85,-150
-0.00034479,270,3.86,-150
0.00083767,280,4.25,-150
-0.00053753,290,4.74,-150
-0.00043393,10,78.8,-150
-0.00012878,20,74.83,-150
-0.00019381,30,69.92,-150
-3.1522e-05,40,64.78,-150
0.00015401,50,59.46,-150
4.1923e-05,60,52.46,-150
0.0006685,70,45.81,-150
0.0004933,80,39.49,-150
-5.3163e-05,90,33.1,-150
-0.00046347,100,27.08,-150
0.00058638,110,22.96,-150
-4.8704e-05,120,19.45,-150
0.00037846,130,16.06,-150
-0.0061163,170,9.78,-150
-0.0040635,180,8.83,-150
-0.0017937,190,8.05,-150
-0.00041524,200,7.19,-150
0.0017182,210,6.41,-150
-0.00087758,220,6.07,-150
0.001093,230,5.84,-150
-0.00072951,240,6.08,-150
0.00025344,250,5.96,-150
-0.00078871,260,5.85,-150
-3.4532e-05,270,5.86,-150
0.00050201,280,6.25,-150
-0.00032718,290,6.74,-150
0.00031906,10,83.8,-150
8.8615e-05,20,79.83,-150
1.8977e-06,30,74.92,-150
-0.0003044,40,69.78,-150
0.00061365,50,64.46,-150
0.0001655,60,57.46,-150
0.00065397,70,50.81,-150
-0.00023744,80,44.49,-150
8.7185e-09,90,38.1,-150
0.00056908,100,32.08,-150
-5.625e-05,110,27.96,-150
7.1124e-05,120,24.45,-150
0.0014935,130,21.06,-150
-0.0067335,170,14.78,-150
0.00063439,180,13.83,-150
-0.0048005,190,13.05,-150
-0.0010804,200,12.19,-150
-0.0025174,210,11.41,-150
0.0005617,220,11.07,-150
0.00018875,230,10.84,-150
0.00089897,240,11.08,-150
0.00019597,250,10.96,-150
0.0004438,260,10.85,-150
0.00072552,270,10.86,-150
-0.00041966,280,11.25,-150
0.00041646,290,11.74,-150
-0.00040583,10,93.8,-150
0.00010768,20,89.83,-150
6.5927e-05,30,84.92,-150
1.1541e-05,40,79.78,-150
0.00013338,50,74.46,-150
-0.00028605,60,67.46,-150
-0.00020873,70,60.81,-150
-0.00026896,80,54.49,-150
-0.00030467,90,48.1,-150
0.00016735,100,42.08,-150
0.0013697,110,37.96,-150
-0.0016557,120,34.45,-150
0.0050862,130,31.06,-150
0.00027682,170,24.78,-150
0.0021553,180,23.83,-150
-0.0030167,190,23.05,-150
-0.00036811,200,22.19,-150
0.00054092,210,21.41,-150
-0.00013844,220,21.07,-150
0.0010095,230,20.84,-150
-0.0012476,240,21.08,-150
0.00092607,250,20.96,-150
-0.00088336,260,20.85,-150
8.7098e-05,270,20.86,-150
-0.0002817,280,21.25,-150
0.00027127,290,21.74,-150
