"p","Points:0","Points:1","Points:2"
0.00074729,250,9.12,-150
0.00051112,249.94,12.656,-150
-0.00014675,249.75,16.187,-150
0.00047168,249.44,19.71,-150
0.00035157,249,23.219,-150
2.1816e-05,248.44,26.711,-150
-0.00044426,247.76,30.181,-150
0.00019524,246.95,33.624,-150
-0.00021598,246.02,37.037,-150
-0.00032281,244.98,40.415,-150
9.0233e-05,243.81,43.753,-150
4.7654e-05,242.53,47.049,-150
7.8769e-05,241.13,50.297,-150
0.00082555,239.62,53.493,-150
5.7939e-05,237.99,56.634,-150
-0.00026003,236.26,59.715,-150
0.00064681,234.41,62.734,-150
0.00013245,232.46,65.685,-150
0.00051793,230.41,68.565,-150
1.3062e-06,228.26,71.371,-150
-0.00028773,226.01,74.1,-150
-0.00042446,223.67,76.747,-150
-0.00022071,221.23,79.309,-150
0.0011244,218.7,81.784,-150
0.00072673,216.09,84.168,-150
-8.638e-06,213.39,86.457,-150
0.001102,210.62,88.651,-150
-0.00036833,207.77,90.744,-150
-0.00039632,204.85,92.736,-150
-0.00028691,201.86,94.623,-150
-0.00085235,198.8,96.403,-150
0.00049699,195.69,98.074,-150
-0.00035819,192.51,99.634,-150
-0.00017391,189.28,101.08,-150
-0.00052484,186.01,102.41,-150
-0.00030656,182.69,103.63,-150
-0.0011524,179.32,104.72,-150
-6.9247e-05,175.93,105.7,-150
-0.0010702,172.5,106.56,-150
-0.0006269,169.04,107.29,-150
-0.00057815,165.55,107.9,-150
-0.00015317,162.05,108.39,-150
-0.00011228,158.53,108.76,-150
-0.00048406,155,108.99,-150
-0.00069813,151.47,109.11,-150
-0.00065871,147.93,109.1,-150
-0.00044261,144.4,108.96,-150
-7.7361e-05,140.87,108.7,-150
-0.0007904,137.36,108.32,-150
0.00011565,133.86,107.81,-150
0.0003483,130.38,107.18,-150
-0.00064062,126.92,106.42,-150
-0.00058071,123.5,105.54,-150
-7.1772e-05,120.1,104.55,-150
-0.0013314,116.75,103.43,-150
-0.0006987,113.44,102.2,-150
-0.00018192,110.17,100.84,-150
-0.00081877,106.95,99.379,-150
-0.00044908,103.78,97.8,-150
-0.0013151,100.68,96.11,-150
-0.00057715,97.633,94.312,-150
-0.00084818,94.653,92.407,-150
-0.00048492,91.743,90.398,-150
-0.00066104,88.906,88.287,-150
-0.00036952,86.144,86.078,-150
-0.00052016,83.463,83.772,-150
0.00025519,80.865,81.372,-150
-0.00052133,78.354,78.883,-150
-0.00028676,75.932,76.306,-150
-0.00018742,73.603,73.645,-150
-0.00034224,71.369,70.903,-150
-0.00066441,69.234,68.084,-150
8.9578e-05,67.199,65.192,-150
-0.00045483,65.268,62.229,-150
-0.00015812,63.443,59.2,-150
-4.0005e-05,61.727,56.108,-150
-0.00020365,60.121,52.957,-150
-0.00018783,200,9.12,-150
0.00039982,199.97,10.887,-150
1.7898e-05,199.88,12.652,-150
-0.00042677,199.72,14.412,-150
-0.00011632,199.5,16.166,-150
0.00055858,199.22,17.911,-150
-1.0471e-06,198.88,19.645,-150
-0.00089896,198.48,21.366,-150
0.00033382,198.01,23.072,-150
-0.00021912,197.49,24.76,-150
-0.0012137,196.91,26.428,-150
-0.0005323,196.27,28.075,-150
-0.0020157,195.57,29.699,-150
-0.0032208,194.81,31.296,-150
-0.0034822,194,32.866,-150
-0.0021046,193.13,34.406,-150
-0.002269,192.21,35.915,-150
-0.0020133,191.24,37.39,-150
-0.00086178,190.22,38.83,-150
-0.0011052,189.14,40.233,-150
0.0020622,188.02,41.597,-150
0.00085239,186.85,42.92,-150
-4.0419e-05,185.63,44.201,-150
0.007615,184.37,45.438,-150
0.0029864,183.06,46.63,-150
0.0045804,181.71,47.775,-150
-0.00022914,180.33,48.872,-150
-0.0011621,178.9,49.919,-150
-0.00022303,177.44,50.915,-150
0.0045681,175.95,51.858,-150
0.00029378,174.42,52.749,-150
0.0035651,172.87,53.585,-150
-0.001328,171.28,54.365,-150
0.0022263,169.67,55.089,-150
0.0037318,168.03,55.755,-150
0.0052915,166.37,56.364,-150
0.0035338,164.69,56.913,-150
-0.00058517,162.99,57.402,-150
-0.0011266,161.28,57.831,-150
-0.00024112,159.55,58.199,-150
-0.00051647,157.81,58.506,-150
0.0012222,156.06,58.751,-150
0.0012736,154.3,58.934,-150
0.0011386,152.54,59.056,-150
0.0016406,150.77,59.114,-150
0.0020276,149.01,59.11,-150
0.0022673,147.24,59.044,-150
0.0020244,145.48,58.915,-150
0.0012639,143.72,58.724,-150
0.00021815,141.97,58.471,-150
-0.00099121,140.23,58.157,-150
0.00097149,138.5,57.781,-150
0.00026423,136.79,57.344,-150
0.00044415,135.1,56.847,-150
0.0016,133.42,56.291,-150
0.00016362,131.76,55.675,-150
0.0033224,130.13,55.002,-150
0.0016298,128.52,54.271,-150
0.0015998,126.94,53.483,-150
0.00043202,125.38,52.641,-150
0.0019353,123.86,51.743,-150
-0.00098222,122.37,50.793,-150
0.0050843,120.92,49.791,-150
0.00051989,119.5,48.737,-150
0.00042669,118.12,47.634,-150
1.7121e-05,116.77,46.483,-150
0.005046,115.47,45.286,-150
-0.0026528,114.22,44.043,-150
-0.0012986,113.01,42.757,-150
0.0014609,111.84,41.428,-150
0.0025736,110.72,40.059,-150
-0.0010207,109.65,38.652,-150
-0.0020091,108.63,37.208,-150
-0.0016919,107.67,35.728,-150
-0.00053336,106.75,34.216,-150
-0.0037651,105.89,32.672,-150
-0.001175,105.09,31.098,-150
-0.00071696,104.34,29.497,-150
-0.00047918,103.65,27.871,-150
-0.00041967,103.02,26.221,-150
