"p","Points:0","Points:1","Points:2"
-4.8179e-17,10,75.3,-150
2.0224e-15,20,71.33,-150
-1.9391e-14,30,66.42,-150
-6.5371e-13,40,61.28,-150
9.8013e-13,50,55.96,-150
2.027e-10,60,48.96,-150
4.3855e-09,70,42.31,-150
1.1259e-07,80,35.99,-150
-7.1472e-07,90,29.6,-150
6.0719e-06,100,23.58,-150
1.2771e-05,110,19.46,-150
-0.00017389,120,15.95,-150
-0.00029688,130,12.56,-150
0.0039325,170,6.28,-150
-0.0011232,180,5.33,-150
0.00011542,190,4.55,-150
6.4672e-06,200,3.69,-150
8.7617e-06,210,2.91,-150
-5.6423e-07,220,2.57,-150
8.6121e-09,230,2.34,-150
4.5549e-10,240,2.58,-150
1.0181e-11,250,2.46,-150
-2.0417e-12,260,2.35,-150
-2.3703e-13,270,2.36,-150
1.02e-14,280,2.75,-150
5.8345e-16,290,3.24,-150
1.6614e-17,10,76.8,-150
-1.453e-15,20,72.83,-150
3.6357e-14,30,67.92,-150
-2.0871e-13,40,62.78,-150
-5.6003e-12,50,57.46,-150
3.3086e-11,60,50.46,-150
1.7486e-09,70,43.81,-150
2.4555e-08,80,37.49,-150
-8.9739e-07,90,31.1,-150
8.384e-07,100,25.08,-150
4.2223e-05,110,20.96,-150
0.00040471,120,17.45,-150
0.00056459,130,14.06,-150
0.0014486,170,7.78,-150
0.00022182,180,6.83,-150
-1.6535e-05,190,6.05,-150
6.9132e-06,200,5.19,-150
-1.4042e-06,210,4.41,-150
4.3983e-07,220,4.07,-150
-3.8431e-08,230,3.84,-150
-2.9694e-09,240,4.08,-150
-7.6543e-11,250,3.96,-150
-1.0936e-11,260,3.85,-150
-1.673e-12,270,3.86,-150
-3.5357e-16,280,4.25,-150
2.8618e-15,290,4.74,-150
-2.9291e-17,10,78.8,-150
1.524e-15,20,74.83,-150
-3.1993e-14,30,69.92,-150
1.083e-13,40,64.78,-150
1.258e-11,50,59.46,-150
-1.1559e-10,60,52.46,-150
-3.5984e-09,70,45.81,-150
-6.4402e-08,80,39.49,-150
-1.2427e-08,90,33.1,-150
7.6535e-06,100,27.08,-150
1.7965e-05,110,22.96,-150
1.1081e-05,120,19.45,-150
0.00090251,130,16.06,-150
0.0010294,170,9.78,-150
0.0011479,180,8.83,-150
-0.00011502,190,8.05,-150
2.2324e-05,200,7.19,-150
-9.4426e-06,210,6.41,-150
9.052e-07,220,6.07,-150
-5.9277e-08,230,5.84,-150
-3.0723e-09,240,6.08,-150
-1.1701e-10,250,5.96,-150
-1.153e-11,260,5.85,-150
-4.2611e-13,270,5.86,-150
6.7095e-15,280,6.25,-150
-5.9805e-16,290,6.74,-150
-1.6525e-18,10,83.8,-150
2.9899e-17,20,79.83,-150
-2.7314e-16,30,74.92,-150
-5.2172e-14,40,69.78,-150
3.4183e-12,50,64.46,-150
-1.4345e-10,60,57.46,-150
1.4694e-09,70,50.81,-150
7.7666e-08,80,44.49,-150
8.1899e-07,90,38.1,-150
1.7649e-05,100,32.08,-150
3.2375e-05,110,27.96,-150
-0.00010256,120,24.45,-150
-0.00028629,130,21.06,-150
8.3302e-05,170,14.78,-150
0.00012959,180,13.83,-150
4.0019e-05,190,13.05,-150
6.6907e-05,200,12.19,-150
-7.9261e-06,210,11.41,-150
2.7128e-07,220,11.07,-150
-4.1881e-08,230,10.84,-150
-1.2725e-09,240,11.08,-150
9.5364e-11,250,10.96,-150
7.1713e-12,260,10.85,-150
-6.7452e-14,270,10.86,-150
-4.5678e-14,280,11.25,-150
8.1098e-16,290,11.74,-150
1.403e-20,10,93.8,-150
-2.017e-17,20,89.83,-150
1.225e-15,30,84.92,-150
-4.4241e-14,40,79.78,-150
2.258e-13,50,74.46,-150
5.0231e-13,60,67.46,-150
-2.2918e-10,70,60.81,-150
6.5273e-09,80,54.49,-150
4.4544e-07,90,48.1,-150
1.0046e-05,100,42.08,-150
-7.6456e-05,110,37.96,-150
0.00045765,120,34.45,-150
-0.0033032,130,31.06,-150
0.00036598,170,24.78,-150
-0.0013553,180,23.83,-150
-0.00060742,190,23.05,-150
-3.8591e-05,200,22.19,-150
-4.292e-07,210,21.41,-150
1.4919e-07,220,21.07,-150
8.0522e-09,230,20.84,-150
-4.845e-10,240,21.08,-150
-2.4258e-11,250,20.96,-150
2.4177e-12,260,20.85,-150
2.4935e-13,270,20.86,-150
-5.2942e-15,280,21.25,-150
-1.6057e-16,290,21.74,-150
