0,0,300,13,-150
0.0005,0.00136424462315752,300,13,-150
0.001,0.0143025517638934,300,13,-150
0.0015,0.0565454708160353,300,13,-150
0.002,0.144083128988024,300,13,-150
0.0025,0.281413923462673,300,13,-150
0.003,0.455891300413183,300,13,-150
0.0035,0.639455937878091,300,13,-150
0.004,0.798093030194957,300,13,-150
0.0045,0.906522052536478,300,13,-150
0.005,0.964007196471909,300,13,-150
0.0055,0.995612992248927,300,13,-150
0.006,1.00945765580648,300,13,-150
0.0065,1.00632635673202,300,13,-150
0.007,0.987210569555627,300,13,-150
0.0075,0.953104666330469,300,13,-150
0.008,0.904908440132534,300,13,-150
0.0085,0.843428284591325,300,13,-150
0.009,0.769448092131417,300,13,-150
0.0095,0.68383077399765,300,13,-150
0.01,0.587613003748068,300,13,-150
0.0105,0.482066512209331,300,13,-150
0.011,0.368714308240716,300,13,-150
0.0115,0.24930461740371,300,13,-150
0.012,0.125755365802125,300,13,-150
0.0125,8.59706950164687e-05,300,13,-150
0.013,-0.125648558785217,300,13,-150
0.0135,-0.249411684758204,300,13,-150
0.014,-0.369224626206733,300,13,-150
0.0145,-0.483193307663691,300,13,-150
0.015,-0.589541742013102,300,13,-150
0.0155,-0.686592750915799,300,13,-150
0.016,-0.772815781985926,300,13,-150
0.0165,-0.846851046516364,300,13,-150
0.017,-0.907530964158945,300,13,-150
0.0175,-0.95389857636402,300,13,-150
0.018,-0.985222638188445,300,13,-150
0.0185,-1.00100915046516,300,13,-150
0.019,-1.00100915046516,300,13,-150
0.0195,-0.985222638188445,300,13,-150
0.02,-0.95389857636402,300,13,-150
0.0205,-0.907530964158945,300,13,-150
0.021,-0.846851046516364,300,13,-150
0.0215,-0.772815781985926,300,13,-150
0.022,-0.6865927509158,300,13,-150
0.0225,-0.589541742013102,300,13,-150
0.023,-0.483193307663691,300,13,-150
0.0235,-0.369224626206734,300,13,-150
0.024,-0.249433051830395,300,13,-150
0.0245,-0.125707769222609,300,13,-150
0.025,-4.08350672045939e-16,300,13,-150
0.0255,0.125707769222608,300,13,-150
0.026,0.249433051830394,300,13,-150
0.0265,0.369224626206733,300,13,-150
0.027,0.483193307663691,300,13,-150
0.0275,0.589541742013101,300,13,-150
0.028,0.686592750915799,300,13,-150
0.0285,0.772815781985926,300,13,-150
0.029,0.846851046516364,300,13,-150
0.0295,0.907530964158945,300,13,-150
0.03,0.95389857636402,300,13,-150
0.0305,0.985222638188445,300,13,-150
0.031,1.00100915046516,300,13,-150
0.0315,1.00100915046516,300,13,-150
0.032,0.985222638188445,300,13,-150
0.0325,0.95389857636402,300,13,-150
0.033,0.907530964158945,300,13,-150
0.0335,0.846851046516364,300,13,-150
0.034,0.772815781985927,300,13,-150
0.0345,0.6865927509158,300,13,-150
0.035,0.589541742013102,300,13,-150
0.0355,0.483193307663692,300,13,-150
0.036,0.369224626206734,300,13,-150
0.0365,0.249433051830396,300,13,-150
0.037,0.125707769222609,300,13,-150
0.0375,8.2141691734115e-16,300,13,-150
0.038,-0.125707769222608,300,13,-150
0.0385,-0.249433051830394,300,13,-150
0.039,-0.369224626206733,300,13,-150
0.0395,-0.483193307663691,300,13,-150
0.04,-0.589541742013101,300,13,-150
0.0405,-0.686592750915799,300,13,-150
0.041,-0.772815781985926,300,13,-150
0.0415,-0.846851046516364,300,13,-150
0.042,-0.907530964158946,300,13,-150
0.0425,-0.95389857636402,300,13,-150
0.043,-0.985222638188445,300,13,-150
0.0435,-1.00100915046516,300,13,-150
0.044,-1.00100915046516,300,13,-150
0.0445,-0.985222638188446,300,13,-150
0.045,-0.95389857636402,300,13,-150
0.0455,-0.907530964158946,300,13,-150
0.046,-0.846851046516365,300,13,-150
0.0465,-0.772815781985926,300,13,-150
0.047,-0.6865927509158,300,13,-150
0.0475,-0.589541742013102,300,13,-150
0.048,-0.483193307663691,300,13,-150
0.0485,-0.369224626206734,300,13,-150
0.049,-0.249433051830395,300,13,-150
0.0495,-0.125707769222609,300,13,-150
0.05,-4.46841473237687e-16,300,13,-150
0.0505,0.125707769222608,300,13,-150
0.051,0.249433051830394,300,13,-150
0.0515,0.369224626206733,300,13,-150
0.052,0.48319330766369,300,13,-150
0.0525,0.589541742013101,300,13,-150
0.053,0.686592750915799,300,13,-150
0.0535,0.772815781985926,300,13,-150
0.054,0.846851046516364,300,13,-150
0.0545,0.907530964158945,300,13,-150
0.055,0.95389857636402,300,13,-150
0.0555,0.985222638188445,300,13,-150
0.056,1.00100915046516,300,13,-150
0.0565,1.00100915046516,300,13,-150
0.057,0.985222638188446,300,13,-150
0.0575,0.95389857636402,300,13,-150
0.058,0.907530964158946,300,13,-150
0.0585,0.846851046516365,300,13,-150
0.059,0.772815781985927,300,13,-150
0.0595,0.6865927509158,300,13,-150
0.06,0.589541742013102,300,13,-150
0.0605,0.483193307663692,300,13,-150
0.061,0.369224626206734,300,13,-150
0.0615,0.249433051830395,300,13,-150
0.062,0.125707769222609,300,13,-150
0.0625,5.18793117176766e-16,300,13,-150
0.063,-0.125707769222608,300,13,-150
0.0635,-0.249433051830395,300,13,-150
0.064,-0.369224626206733,300,13,-150
0.0645,-0.483193307663691,300,13,-150
