"p","Points:0","Points:1","Points:2"
0.00049289,10,75.3,-150
1.7705e-05,20,71.33,-150
0.00043404,30,66.42,-150
0.00049819,40,61.28,-150
-0.00048589,50,55.96,-150
0.001146,60,48.96,-150
8.6066e-06,70,42.31,-150
-0.00049289,80,35.99,-150
-0.00022562,90,29.6,-150
-0.0024609,100,23.58,-150
-0.00071093,110,19.46,-150
0.0043664,120,15.95,-150
0.00057423,130,12.56,-150
-0.0034336,170,6.28,-150
0.0027224,180,5.33,-150
-0.00063194,190,4.55,-150
-0.00026664,200,3.69,-150
0.00056209,210,2.91,-150
0.0015949,220,2.57,-150
0.0005035,230,2.34,-150
-0.0008663,240,2.58,-150
0.00029914,250,2.46,-150
-0.00012403,260,2.35,-150
0.00031338,270,2.36,-150
-0.00017224,280,2.75,-150
5.7588e-05,290,3.24,-150
8.3973e-05,10,76.8,-150
0.00051166,20,72.83,-150
-1.8857e-05,30,67.92,-150
0.00048036,40,62.78,-150
0.00015692,50,57.46,-150
0.00019509,60,50.46,-150
-0.00057375,70,43.81,-150
-0.00051743,80,37.49,-150
0.0010959,90,31.1,-150
2.5909e-05,100,25.08,-150
0.0047184,110,20.96,-150
-0.0018869,120,17.45,-150
0.0021089,130,14.06,-150
-0.0055177,170,7.78,-150
0.001553,180,6.83,-150
0.0004938,190,6.05,-150
0.00052537,200,5.19,-150
0.00058713,210,4.41,-150
0.0012677,220,4.07,-150
0.00060967,230,3.84,-150
-0.00029364,240,4.08,-150
0.00012674,250,3.96,-150
-1.449e-06,260,3.85,-150
0.00026946,270,3.86,-150
9.1804e-05,280,4.25,-150
3.1377e-05,290,4.74,-150
-3.4037e-05,10,78.8,-150
-6.417e-05,20,74.83,-150
-0.00085398,30,69.92,-150
7.5249e-05,40,64.78,-150
0.00020664,50,59.46,-150
-0.00018313,60,52.46,-150
0.0004037,70,45.81,-150
-0.00096857,80,39.49,-150
0.00076449,90,33.1,-150
-0.00099067,100,27.08,-150
-0.0048887,110,22.96,-150
0.002391,120,19.45,-150
-0.00092208,130,16.06,-150
-0.0018467,170,9.78,-150
0.0017516,180,8.83,-150
0.0017791,190,8.05,-150
0.0009569,200,7.19,-150
0.00031131,210,6.41,-150
0.00072803,220,6.07,-150
0.00038978,230,5.84,-150
0.000178,240,6.08,-150
-0.00020882,250,5.96,-150
0.00026189,260,5.85,-150
0.00021286,270,5.86,-150
0.00030316,280,6.25,-150
-0.00014743,290,6.74,-150
-0.0010583,10,83.8,-150
0.00047803,20,79.83,-150
-0.00030492,30,74.92,-150
-0.00038256,40,69.78,-150
-0.0010126,50,64.46,-150
-0.0011488,60,57.46,-150
-0.00043527,70,50.81,-150
-0.00048444,80,44.49,-150
0.0008144,90,38.1,-150
-0.0021779,100,32.08,-150
-0.00088868,110,27.96,-150
0.0015489,120,24.45,-150
-0.00072532,130,21.06,-150
0.0024111,170,14.78,-150
0.00066649,180,13.83,-150
-0.0011959,190,13.05,-150
0.0016976,200,12.19,-150
-0.00036619,210,11.41,-150
-0.00047778,220,11.07,-150
1.3228e-06,230,10.84,-150
0.0010331,240,11.08,-150
-0.00074053,250,10.96,-150
0.00039809,260,10.85,-150
0.00042578,270,10.86,-150
0.00042627,280,11.25,-150
-0.00054561,290,11.74,-150
-0.00028207,10,93.8,-150
0.00055024,20,89.83,-150
0.00016399,30,84.92,-150
-0.00045142,40,79.78,-150
0.00087624,50,74.46,-150
0.00015936,60,67.46,-150
-6.0706e-05,70,60.81,-150
0.00090296,80,54.49,-150
-0.00056561,90,48.1,-150
0.00028396,100,42.08,-150
-0.0043547,110,37.96,-150
-0.0021219,120,34.45,-150
-0.0037486,130,31.06,-150
-0.0033943,170,24.78,-150
-0.0007455,180,23.83,-150
-0.0022965,190,23.05,-150
-0.00064084,200,22.19,-150
0.00016429,210,21.41,-150
0.00018553,220,21.07,-150
0.00038999,230,20.84,-150
0.00014441,240,21.08,-150
-0.00074639,250,20.96,-150
3.7901e-05,260,20.85,-150
0.00010669,270,20.86,-150
-0.00067062,280,21.25,-150
-1.1342e-05,290,21.74,-150
