"p","Points:0","Points:1","Points:2"
0.00026367,10,75.3,-150
-0.00052408,20,71.33,-150
0.00081261,30,66.42,-150
0.00053805,40,61.28,-150
0.00036313,50,55.96,-150
0.0007776,60,48.96,-150
-0.00033927,70,42.31,-150
2.7139e-06,80,35.99,-150
-0.0012314,90,29.6,-150
-0.0003857,100,23.58,-150
0.0009927,110,19.46,-150
-0.0037116,120,15.95,-150
0.004551,130,12.56,-150
-0.0019146,170,6.28,-150
-0.0052005,180,5.33,-150
0.001205,190,4.55,-150
-0.0012972,200,3.69,-150
6.6256e-05,210,2.91,-150
-0.0016287,220,2.57,-150
0.0021696,230,2.34,-150
-0.0012176,240,2.58,-150
-0.0011786,250,2.46,-150
0.00096372,260,2.35,-150
0.00035682,270,2.36,-150
0.0010393,280,2.75,-150
0.00018032,290,3.24,-150
0.00035012,10,76.8,-150
-0.00053073,20,72.83,-150
-0.0003219,30,67.92,-150
-0.00058891,40,62.78,-150
-0.00057003,50,57.46,-150
-8.9307e-05,60,50.46,-150
0.00067183,70,43.81,-150
-0.0001362,80,37.49,-150
-0.0011008,90,31.1,-150
-2.4336e-05,100,25.08,-150
-0.0027878,110,20.96,-150
0.0011712,120,17.45,-150
0.0030441,130,14.06,-150
0.0013861,170,7.78,-150
0.00064321,180,6.83,-150
0.00020743,190,6.05,-150
-0.00078367,200,5.19,-150
0.00042051,210,4.41,-150
-0.0011874,220,4.07,-150
0.00057661,230,3.84,-150
-0.001013,240,4.08,-150
-0.00096538,250,3.96,-150
0.00085344,260,3.85,-150
0.00032956,270,3.86,-150
0.0009746,280,4.25,-150
0.00019085,290,4.74,-150
-8.6648e-05,10,78.8,-150
0.00043465,20,74.83,-150
-0.00014505,30,69.92,-150
-0.00042908,40,64.78,-150
-0.00028719,50,59.46,-150
-0.0011721,60,52.46,-150
0.0011191,70,45.81,-150
0.0011032,80,39.49,-150
-0.00021511,90,33.1,-150
-0.00027918,100,27.08,-150
0.0027826,110,22.96,-150
0.00094542,120,19.45,-150
0.0022639,130,16.06,-150
0.0040966,170,9.78,-150
0.002729,180,8.83,-150
-0.0008442,190,8.05,-150
-6.8804e-05,200,7.19,-150
0.00067034,210,6.41,-150
-0.00046665,220,6.07,-150
0.0009667,230,5.84,-150
-0.00084526,240,6.08,-150
-0.00047564,250,5.96,-150
0.00066586,260,5.85,-150
0.00033006,270,5.86,-150
0.00080427,280,6.25,-150
0.00017197,290,6.74,-150
0.00033965,10,83.8,-150
-0.00048043,20,79.83,-150
0.00010211,30,74.92,-150
-0.00093791,40,69.78,-150
-0.00096068,50,64.46,-150
-0.0013609,60,57.46,-150
0.00072108,70,50.81,-150
1.4477e-05,80,44.49,-150
-0.00011287,90,38.1,-150
-0.0014768,100,32.08,-150
0.00037507,110,27.96,-150
0.0035716,120,24.45,-150
0.0022417,130,21.06,-150
-0.0011993,170,14.78,-150
-9.6388e-05,180,13.83,-150
0.000548,190,13.05,-150
0.0007401,200,12.19,-150
0.00089946,210,11.41,-150
0.0010594,220,11.07,-150
-0.00035199,230,10.84,-150
-0.00052324,240,11.08,-150
0.00049209,250,10.96,-150
8.3484e-06,260,10.85,-150
-4.2081e-05,270,10.86,-150
0.00028481,280,11.25,-150
0.00015045,290,11.74,-150
-0.00016602,10,93.8,-150
0.0001165,20,89.83,-150
0.00089927,30,84.92,-150
5.3964e-05,40,79.78,-150
0.00051695,50,74.46,-150
0.00048432,60,67.46,-150
1.6565e-05,70,60.81,-150
0.00075167,80,54.49,-150
-0.00032144,90,48.1,-150
-0.00012264,100,42.08,-150
0.0012201,110,37.96,-150
0.0022923,120,34.45,-150
-0.0038255,130,31.06,-150
8.8308e-05,170,24.78,-150
0.0018154,180,23.83,-150
0.0012776,190,23.05,-150
-0.00045275,200,22.19,-150
0.00066842,210,21.41,-150
-6.3372e-05,220,21.07,-150
-0.00017048,230,20.84,-150
-0.00031894,240,21.08,-150
0.00012025,250,20.96,-150
0.00043365,260,20.85,-150
0.00067046,270,20.86,-150
0.00011424,280,21.25,-150
-3.3641e-05,290,21.74,-150
