"p","Points:0","Points:1","Points:2"
-9.0907e-05,10,75.3,-150
0.0005853,20,71.33,-150
0.00020032,30,66.42,-150
0.0003519,40,61.28,-150
-0.0014351,50,55.96,-150
-0.001168,60,48.96,-150
-0.0014362,70,42.31,-150
0.00022068,80,35.99,-150
0.00099336,90,29.6,-150
-0.0019635,100,23.58,-150
0.001404,110,19.46,-150
-0.00061953,120,15.95,-150
0.0033485,130,12.56,-150
-0.0015743,170,6.28,-150
-0.0029677,180,5.33,-150
0.0020044,190,4.55,-150
-0.00015031,200,3.69,-150
-0.00037476,210,2.91,-150
-0.0030091,220,2.57,-150
0.0017154,230,2.34,-150
0.0010257,240,2.58,-150
-0.00095964,250,2.46,-150
0.0012617,260,2.35,-150
-0.00069829,270,2.36,-150
0.001786,280,2.75,-150
-0.0013692,290,3.24,-150
-0.00012211,10,76.8,-150
-0.00038301,20,72.83,-150
-0.00070991,30,67.92,-150
-0.00055035,40,62.78,-150
-0.0010947,50,57.46,-150
-8.8863e-05,60,50.46,-150
1.5055e-05,70,43.81,-150
0.00019129,80,37.49,-150
-6.1567e-07,90,31.1,-150
-0.00071946,100,25.08,-150
0.0011851,110,20.96,-150
0.0027348,120,17.45,-150
0.00081964,130,14.06,-150
0.0023488,170,7.78,-150
0.00021113,180,6.83,-150
0.00047091,190,6.05,-150
0.00058773,200,5.19,-150
-0.00071827,210,4.41,-150
-0.0024448,220,4.07,-150
0.0012296,230,3.84,-150
0.00037462,240,4.08,-150
-0.00069038,250,3.96,-150
0.0010442,260,3.85,-150
-0.00060294,270,3.86,-150
0.0013597,280,4.25,-150
-0.0011579,290,4.74,-150
0.0003516,10,78.8,-150
0.00019344,20,74.83,-150
0.00011658,30,69.92,-150
0.00038513,40,64.78,-150
-3.7477e-05,50,59.46,-150
0.00044461,60,52.46,-150
0.0016648,70,45.81,-150
-0.00037265,80,39.49,-150
0.00021962,90,33.1,-150
-0.0015832,100,27.08,-150
0.00035336,110,22.96,-150
-0.00010649,120,19.45,-150
0.0074656,130,16.06,-150
0.0016917,170,9.78,-150
0.0022063,180,8.83,-150
-0.001324,190,8.05,-150
0.00091538,200,7.19,-150
-0.00080728,210,6.41,-150
-0.0017181,220,6.07,-150
0.0010459,230,5.84,-150
-1.6989e-05,240,6.08,-150
-0.00024052,250,5.96,-150
0.00051665,260,5.85,-150
-0.00031005,270,5.86,-150
0.00087074,280,6.25,-150
-0.00066876,290,6.74,-150
-0.00032312,10,83.8,-150
-0.0002213,20,79.83,-150
-0.00039959,30,74.92,-150
-0.0003256,40,69.78,-150
-0.0001622,50,64.46,-150
-0.0014917,60,57.46,-150
0.00051021,70,50.81,-150
0.00029913,80,44.49,-150
-0.00094865,90,38.1,-150
0.00090234,100,32.08,-150
0.0023205,110,27.96,-150
0.0011803,120,24.45,-150
-0.0020634,130,21.06,-150
-0.0052228,170,14.78,-150
0.0018767,180,13.83,-150
-0.0020717,190,13.05,-150
0.0018648,200,12.19,-150
-0.0008505,210,11.41,-150
9.5429e-05,220,11.07,-150
-0.00023908,230,10.84,-150
-0.00019659,240,11.08,-150
9.0086e-05,250,10.96,-150
-0.00057636,260,10.85,-150
0.00057397,270,10.86,-150
-0.00014214,280,11.25,-150
0.00022649,290,11.74,-150
-0.00022853,10,93.8,-150
-0.00011076,20,89.83,-150
0.00071322,30,84.92,-150
-0.00032267,40,79.78,-150
-0.00071676,50,74.46,-150
-0.00070092,60,67.46,-150
2.9613e-05,70,60.81,-150
0.0011107,80,54.49,-150
0.0017098,90,48.1,-150
-0.0011757,100,42.08,-150
-0.002025,110,37.96,-150
-0.0043509,120,34.45,-150
0.0038513,130,31.06,-150
0.0008377,170,24.78,-150
-8.5606e-05,180,23.83,-150
0.0012945,190,23.05,-150
0.0010973,200,22.19,-150
-0.0011409,210,21.41,-150
-0.00058921,220,21.07,-150
0.00047618,230,20.84,-150
-9.4068e-05,240,21.08,-150
-0.00059886,250,20.96,-150
0.00049513,260,20.85,-150
-9.7049e-06,270,20.86,-150
0.00055135,280,21.25,-150
-0.00028011,290,21.74,-150
