"p","Points:0","Points:1","Points:2"
-0.00013276,10,75.3,-150
-0.0010344,20,71.33,-150
0.00025528,30,66.42,-150
-0.0010553,40,61.28,-150
-0.0013528,50,55.96,-150
-0.00014962,60,48.96,-150
0.0010548,70,42.31,-150
-3.5272e-05,80,35.99,-150
0.0012492,90,29.6,-150
0.00049482,100,23.58,-150
-2.2154e-05,110,19.46,-150
-0.0021721,120,15.95,-150
0.0003015,130,12.56,-150
0.0029412,170,6.28,-150
-0.0038673,180,5.33,-150
0.00058679,190,4.55,-150
-0.00014075,200,3.69,-150
8.0759e-05,210,2.91,-150
-0.0017371,220,2.57,-150
0.0018632,230,2.34,-150
-0.0012474,240,2.58,-150
-0.00056655,250,2.46,-150
-0.00035383,260,2.35,-150
-0.00079793,270,2.36,-150
-0.00039736,280,2.75,-150
0.0011778,290,3.24,-150
0.00014912,10,76.8,-150
-3.4928e-05,20,72.83,-150
0.00023071,30,67.92,-150
-0.0006111,40,62.78,-150
0.00021628,50,57.46,-150
0.0001324,60,50.46,-150
0.00068317,70,43.81,-150
-0.00083703,80,37.49,-150
-0.0011972,90,31.1,-150
0.0009718,100,25.08,-150
-1.2315e-05,110,20.96,-150
0.0011892,120,17.45,-150
0.0063207,130,14.06,-150
0.0039852,170,7.78,-150
-0.00082781,180,6.83,-150
2.579e-05,190,6.05,-150
-0.00099404,200,5.19,-150
0.00049622,210,4.41,-150
-0.0011027,220,4.07,-150
0.0010027,230,3.84,-150
-0.0013543,240,4.08,-150
-0.00041037,250,3.96,-150
-0.00034441,260,3.85,-150
-0.00072521,270,3.86,-150
-0.00034731,280,4.25,-150
0.0010798,290,4.74,-150
0.00019485,10,78.8,-150
0.00049627,20,74.83,-150
-0.00025476,30,69.92,-150
0.00059016,40,64.78,-150
0.00052334,50,59.46,-150
0.000161,60,52.46,-150
-0.0004328,70,45.81,-150
0.0021498,80,39.49,-150
0.0016088,90,33.1,-150
0.0017853,100,27.08,-150
0.0010486,110,22.96,-150
-0.0015988,120,19.45,-150
0.0014885,130,16.06,-150
0.0020184,170,9.78,-150
0.0014418,180,8.83,-150
-0.00058849,190,8.05,-150
-0.0017064,200,7.19,-150
0.00057886,210,6.41,-150
-0.00043455,220,6.07,-150
0.00066896,230,5.84,-150
-0.00078918,240,6.08,-150
-0.00019103,250,5.96,-150
-0.00024385,260,5.85,-150
-0.00061495,270,5.86,-150
-0.00031062,280,6.25,-150
0.00071794,290,6.74,-150
0.00059169,10,83.8,-150
0.0001475,20,79.83,-150
-0.00025059,30,74.92,-150
0.00076767,40,69.78,-150
0.00054224,50,64.46,-150
0.00037765,60,57.46,-150
-0.0020804,70,50.81,-150
-0.00014771,80,44.49,-150
0.0025407,90,38.1,-150
-0.00012566,100,32.08,-150
0.0013474,110,27.96,-150
0.00013626,120,24.45,-150
0.0088835,130,21.06,-150
-0.00091158,170,14.78,-150
0.0011827,180,13.83,-150
-0.001115,190,13.05,-150
-0.0020773,200,12.19,-150
0.0012505,210,11.41,-150
0.0011045,220,11.07,-150
2.7712e-06,230,10.84,-150
-0.00029701,240,11.08,-150
-0.00016421,250,10.96,-150
0.00029195,260,10.85,-150
-0.00067034,270,10.86,-150
-0.00034359,280,11.25,-150
-4.0867e-05,290,11.74,-150
-0.00038583,10,93.8,-150
7.6357e-05,20,89.83,-150
0.0007843,30,84.92,-150
0.00016155,40,79.78,-150
-0.00046208,50,74.46,-150
-0.0001341,60,67.46,-150
-0.00011509,70,60.81,-150
0.00097919,80,54.49,-150
-0.00033096,90,48.1,-150
0.0017332,100,42.08,-150
-0.0005994,110,37.96,-150
-0.0019696,120,34.45,-150
-0.00057307,130,31.06,-150
-0.00050908,170,24.78,-150
0.00030449,180,23.83,-150
0.00011024,190,23.05,-150
-0.00058224,200,22.19,-150
0.0012052,210,21.41,-150
0.00085746,220,21.07,-150
1.1039e-05,230,20.84,-150
-0.00016729,240,21.08,-150
-0.00062827,250,20.96,-150
0.00029544,260,20.85,-150
-0.00087404,270,20.86,-150
-0.0002389,280,21.25,-150
0.00020687,290,21.74,-150
