"p","Points:0","Points:1","Points:2"
0.00028707,10,75.3,-150
0.00060236,20,71.33,-150
0.00067492,30,66.42,-150
-0.00026326,40,61.28,-150
0.0003432,50,55.96,-150
0.00089294,60,48.96,-150
0.00094839,70,42.31,-150
-0.0010281,80,35.99,-150
-0.00073774,90,29.6,-150
-0.00088844,100,23.58,-150
-0.00082767,110,19.46,-150
-0.00091759,120,15.95,-150
-0.0030825,130,12.56,-150
0.0006411,170,6.28,-150
-9.133e-05,180,5.33,-150
-0.00079356,190,4.55,-150
-0.0013744,200,3.69,-150
0.00066399,210,2.91,-150
-0.003654,220,2.57,-150
-0.0011872,230,2.34,-150
-0.001092,240,2.58,-150
0.00014951,250,2.46,-150
0.00067075,260,2.35,-150
0.0010656,270,2.36,-150
0.0012838,280,2.75,-150
0.00013609,290,3.24,-150
0.00017585,10,76.8,-150
0.00042249,20,72.83,-150
-0.00027713,30,67.92,-150
0.00016877,40,62.78,-150
-6.5883e-05,50,57.46,-150
0.00045757,60,50.46,-150
-0.00020927,70,43.81,-150
-0.0013639,80,37.49,-150
0.0020904,90,31.1,-150
-0.00083839,100,25.08,-150
-0.0015466,110,20.96,-150
0.0057221,120,17.45,-150
0.001463,130,14.06,-150
-0.0018324,170,7.78,-150
-0.00049713,180,6.83,-150
-0.00064123,190,6.05,-150
-0.00091723,200,5.19,-150
0.00066824,210,4.41,-150
-0.0030069,220,4.07,-150
-0.00081743,230,3.84,-150
-0.00058611,240,4.08,-150
-5.7242e-06,250,3.96,-150
0.00055522,260,3.85,-150
0.00098809,270,3.86,-150
0.0012197,280,4.25,-150
-3.9215e-05,290,4.74,-150
-6.0091e-05,10,78.8,-150
-0.00029911,20,74.83,-150
-0.00027318,30,69.92,-150
0.0002973,40,64.78,-150
-0.00018617,50,59.46,-150
-0.00032992,60,52.46,-150
-0.00086006,70,45.81,-150
0.0012474,80,39.49,-150
-0.0030085,90,33.1,-150
-0.00033492,100,27.08,-150
-0.00087681,110,22.96,-150
-0.0030108,120,19.45,-150
-0.0029069,130,16.06,-150
-0.0037155,170,9.78,-150
-0.00093787,180,8.83,-150
-0.00029337,190,8.05,-150
-0.00015231,200,7.19,-150
0.00073878,210,6.41,-150
-0.0018525,220,6.07,-150
-0.00074512,230,5.84,-150
-0.00030115,240,6.08,-150
-0.00032397,250,5.96,-150
0.00041562,260,5.85,-150
0.00078682,270,5.86,-150
0.00098794,280,6.25,-150
-0.00021825,290,6.74,-150
0.00041522,10,83.8,-150
-0.00055613,20,79.83,-150
1.3891e-05,30,74.92,-150
1.7195e-05,40,69.78,-150
0.00069599,50,64.46,-150
0.0012366,60,57.46,-150
0.00053621,70,50.81,-150
-0.00033727,80,44.49,-150
-0.00075731,90,38.1,-150
-0.0021234,100,32.08,-150
-0.00052632,110,27.96,-150
0.0040189,120,24.45,-150
0.0031022,130,21.06,-150
0.006486,170,14.78,-150
0.0012097,180,13.83,-150
0.00014992,190,13.05,-150
0.00024093,200,12.19,-150
0.00021802,210,11.41,-150
-0.00010872,220,11.07,-150
0.00031199,230,10.84,-150
0.00021434,240,11.08,-150
-6.5061e-05,250,10.96,-150
0.00039172,260,10.85,-150
-0.00023629,270,10.86,-150
0.00027025,280,11.25,-150
-0.00041346,290,11.74,-150
-0.00073395,10,93.8,-150
2.6916e-05,20,89.83,-150
-0.00034425,30,84.92,-150
-0.00079522,40,79.78,-150
-0.00035763,50,74.46,-150
-0.0010467,60,67.46,-150
-5.0899e-05,70,60.81,-150
3.626e-06,80,54.49,-150
0.00088866,90,48.1,-150
0.0011609,100,42.08,-150
-0.0026832,110,37.96,-150
-0.00028745,120,34.45,-150
0.0063894,130,31.06,-150
-0.0016996,170,24.78,-150
-0.00074148,180,23.83,-150
-0.00081689,190,23.05,-150
-0.0021566,200,22.19,-150
0.00019932,210,21.41,-150
-0.0012303,220,21.07,-150
-0.00034949,230,20.84,-150
-0.00054462,240,21.08,-150
0.00057327,250,20.96,-150
8.8027e-05,260,20.85,-150
0.00010567,270,20.86,-150
-0.00019432,280,21.25,-150
0.00031353,290,21.74,-150
