"p","Points:0","Points:1","Points:2"
-0.00069351,10,75.3,-150
-0.00095648,20,71.33,-150
0.000134,30,66.42,-150
-0.00025066,40,61.28,-150
7.0089e-05,50,55.96,-150
0.00052856,60,48.96,-150
-0.00036701,70,42.31,-150
0.00017583,80,35.99,-150
-4.0171e-05,90,29.6,-150
0.00020388,100,23.58,-150
0.00084486,110,19.46,-150
-0.00065638,120,15.95,-150
-0.00057431,130,12.56,-150
0.0001699,170,6.28,-150
-0.00010745,180,5.33,-150
1.2358e-05,190,4.55,-150
-0.00055843,200,3.69,-150
0.00052843,210,2.91,-150
-0.00022369,220,2.57,-150
8.2726e-07,230,2.34,-150
-0.00017693,240,2.58,-150
-0.00024338,250,2.46,-150
-0.00029885,260,2.35,-150
-3.8555e-05,270,2.36,-150
-0.00037815,280,2.75,-150
8.2649e-05,290,3.24,-150
-0.00052376,10,76.8,-150
0.00028958,20,72.83,-150
0.0001077,30,67.92,-150
-0.00018825,40,62.78,-150
-0.00015407,50,57.46,-150
-0.00052551,60,50.46,-150
-6.3714e-05,70,43.81,-150
0.00010545,80,37.49,-150
8.624e-05,90,31.1,-150
-0.00020834,100,25.08,-150
-5.1497e-05,110,20.96,-150
-0.00049274,120,17.45,-150
-0.0019772,130,14.06,-150
-0.00011118,170,7.78,-150
-0.00096723,180,6.83,-150
2.7782e-05,190,6.05,-150
0.00055129,200,5.19,-150
5.2488e-05,210,4.41,-150
-8.9178e-05,220,4.07,-150
5.2224e-05,230,3.84,-150
1.0476e-05,240,4.08,-150
-0.00028265,250,3.96,-150
-0.00019638,260,3.85,-150
-7.6894e-05,270,3.86,-150
-0.00020504,280,4.25,-150
5.2645e-05,290,4.74,-150
0.0003563,10,78.8,-150
0.00038439,20,74.83,-150
-9.8292e-05,30,69.92,-150
-3.1833e-05,40,64.78,-150
0.00015722,50,59.46,-150
-0.00027579,60,52.46,-150
-0.00017608,70,45.81,-150
-9.8233e-05,80,39.49,-150
0.00065114,90,33.1,-150
0.00078186,100,27.08,-150
0.0012912,110,22.96,-150
0.00028533,120,19.45,-150
-0.0004841,130,16.06,-150
0.00013872,170,9.78,-150
-0.00039382,180,8.83,-150
0.00054499,190,8.05,-150
0.00099029,200,7.19,-150
-0.00053021,210,6.41,-150
3.7867e-05,220,6.07,-150
0.00033752,230,5.84,-150
0.00030194,240,6.08,-150
-0.00030036,250,5.96,-150
1.808e-05,260,5.85,-150
-0.00016113,270,5.86,-150
5.2639e-05,280,6.25,-150
-4.9826e-05,290,6.74,-150
-0.00027326,10,83.8,-150
0.00034134,20,79.83,-150
0.00050449,30,74.92,-150
-8.3857e-05,40,69.78,-150
0.00021764,50,64.46,-150
-0.00014202,60,57.46,-150
-0.00077365,70,50.81,-150
-0.0009094,80,44.49,-150
-0.00049431,90,38.1,-150
-0.00017403,100,32.08,-150
-0.00063997,110,27.96,-150
-0.0010316,120,24.45,-150
-0.0033815,130,21.06,-150
-0.0006128,170,14.78,-150
-0.0006184,180,13.83,-150
3.0295e-05,190,13.05,-150
-6.2606e-05,200,12.19,-150
0.00022185,210,11.41,-150
1.7452e-05,220,11.07,-150
0.00021443,230,10.84,-150
0.00021522,240,11.08,-150
0.00019648,250,10.96,-150
9.8219e-05,260,10.85,-150
-0.00034163,270,10.86,-150
0.00025679,280,11.25,-150
-0.00016527,290,11.74,-150
0.00060217,10,93.8,-150
-4.0466e-08,20,89.83,-150
7.6673e-05,30,84.92,-150
-0.00014585,40,79.78,-150
-0.00031544,50,74.46,-150
0.00058534,60,67.46,-150
0.0008329,70,60.81,-150
0.00015013,80,54.49,-150
-0.00085087,90,48.1,-150
-0.0019788,100,42.08,-150
-0.00063204,110,37.96,-150
-0.0025614,120,34.45,-150
-0.0011776,130,31.06,-150
-0.0030541,170,24.78,-150
-0.0015241,180,23.83,-150
0.00073662,190,23.05,-150
-0.00042264,200,22.19,-150
0.00052923,210,21.41,-150
-8.8505e-05,220,21.07,-150
0.00027454,230,20.84,-150
4.8562e-05,240,21.08,-150
0.00019662,250,20.96,-150
0.00031014,260,20.85,-150
-0.00020503,270,20.86,-150
0.00025325,280,21.25,-150
-9.9601e-05,290,21.74,-150
