"p","Points:0","Points:1","Points:2"
-0.00063208,10,75.3,-150
-0.0009937,20,71.33,-150
0.00051253,30,66.42,-150
0.00074891,40,61.28,-150
-9.4874e-05,50,55.96,-150
7.4456e-05,60,48.96,-150
0.00042304,70,42.31,-150
0.00029629,80,35.99,-150
-0.00015117,90,29.6,-150
-0.0004868,100,23.58,-150
-0.00013973,110,19.46,-150
6.7505e-05,120,15.95,-150
0.0010007,130,12.56,-150
0.00077261,170,6.28,-150
0.00070631,180,5.33,-150
-7.1743e-05,190,4.55,-150
-0.00012647,200,3.69,-150
-9.3174e-05,210,2.91,-150
4.5457e-05,220,2.57,-150
-0.00072807,230,2.34,-150
1.2397e-05,240,2.58,-150
0.00012085,250,2.46,-150
5.6526e-05,260,2.35,-150
0.00014627,270,2.36,-150
3.3405e-05,280,2.75,-150
-0.0002527,290,3.24,-150
-0.00065917,10,76.8,-150
-0.00012305,20,72.83,-150
-0.00013402,30,67.92,-150
-0.00037393,40,62.78,-150
4.3888e-05,50,57.46,-150
0.00060532,60,50.46,-150
-0.00049924,70,43.81,-150
4.0171e-05,80,37.49,-150
-0.00020829,90,31.1,-150
0.0001923,100,25.08,-150
-0.00089818,110,20.96,-150
0.001701,120,17.45,-150
-0.00049193,130,14.06,-150
0.00025586,170,7.78,-150
0.00040665,180,6.83,-150
0.00051388,190,6.05,-150
-4.49e-05,200,5.19,-150
-0.00026105,210,4.41,-150
-0.00011834,220,4.07,-150
-0.00029985,230,3.84,-150
-0.00014258,240,4.08,-150
2.068e-05,250,3.96,-150
1.6428e-06,260,3.85,-150
0.00010523,270,3.86,-150
5.6854e-05,280,4.25,-150
-0.00016283,290,4.74,-150
0.00042829,10,78.8,-150
0.00066737,20,74.83,-150
-0.00061879,30,69.92,-150
-0.00069526,40,64.78,-150
-0.00028022,50,59.46,-150
0.00019256,60,52.46,-150
-0.00033536,70,45.81,-150
-0.0013872,80,39.49,-150
0.00052494,90,33.1,-150
-0.00067835,100,27.08,-150
-0.00062444,110,22.96,-150
0.0012327,120,19.45,-150
0.0016094,130,16.06,-150
-0.00082762,170,9.78,-150
-0.0014379,180,8.83,-150
0.00038129,190,8.05,-150
-5.3182e-05,200,7.19,-150
-0.00033472,210,6.41,-150
-0.00027538,220,6.07,-150
-0.00029759,230,5.84,-150
-0.00030036,240,6.08,-150
-6.1467e-05,250,5.96,-150
-0.0001043,260,5.85,-150
3.2055e-05,270,5.86,-150
0.00011508,280,6.25,-150
6.805e-05,290,6.74,-150
-7.8268e-05,10,83.8,-150
-0.00016085,20,79.83,-150
0.00070233,30,74.92,-150
0.00046735,40,69.78,-150
-0.00017453,50,64.46,-150
-0.00031338,60,57.46,-150
0.0003579,70,50.81,-150
0.00022038,80,44.49,-150
-0.00064574,90,38.1,-150
-0.0003799,100,32.08,-150
0.0007469,110,27.96,-150
-0.0015245,120,24.45,-150
0.0016156,130,21.06,-150
0.00028147,170,14.78,-150
0.0011285,180,13.83,-150
-0.00050077,190,13.05,-150
0.00037177,200,12.19,-150
0.00029271,210,11.41,-150
0.00016835,220,11.07,-150
0.00037461,230,10.84,-150
-5.8132e-05,240,11.08,-150
-0.00010422,250,10.96,-150
-0.00024747,260,10.85,-150
-0.00016795,270,10.86,-150
0.00015983,280,11.25,-150
0.00035601,290,11.74,-150
-8.2663e-05,10,93.8,-150
-0.00063152,20,89.83,-150
0.00028852,30,84.92,-150
-2.682e-05,40,79.78,-150
-0.00010161,50,74.46,-150
-0.00030054,60,67.46,-150
0.0001501,70,60.81,-150
-0.00010781,80,54.49,-150
0.0010901,90,48.1,-150
0.00071816,100,42.08,-150
0.002274,110,37.96,-150
-0.0021461,120,34.45,-150
0.0038695,130,31.06,-150
-7.1742e-05,170,24.78,-150
0.0011922,180,23.83,-150
-0.0016011,190,23.05,-150
0.00057385,200,22.19,-150
0.00027947,210,21.41,-150
0.00053764,220,21.07,-150
6.6742e-05,230,20.84,-150
7.2761e-05,240,21.08,-150
-0.00017753,250,20.96,-150
-4.642e-07,260,20.85,-150
-0.00011891,270,20.86,-150
0.00033063,280,21.25,-150
0.00022735,290,21.74,-150
