"p","Points:0","Points:1","Points:2"
7.6863e-05,10,75.3,-150
-0.00028531,20,71.33,-150
-0.00095987,30,66.42,-150
-0.00026402,40,61.28,-150
6.6354e-05,50,55.96,-150
-0.00093685,60,48.96,-150
0.00056827,70,42.31,-150
0.0013742,80,35.99,-150
0.00019434,90,29.6,-150
-0.00055198,100,23.58,-150
-8.263e-05,110,19.46,-150
-0.00039505,120,15.95,-150
-0.00092717,130,12.56,-150
0.00032725,170,6.28,-150
0.00022682,180,5.33,-150
0.00033701,190,4.55,-150
-6.6243e-05,200,3.69,-150
-6.7494e-05,210,2.91,-150
0.00032247,220,2.57,-150
-0.00025786,230,2.34,-150
-0.00016794,240,2.58,-150
-2.7212e-05,250,2.46,-150
-0.00016888,260,2.35,-150
-0.00015549,270,2.36,-150
0.00020621,280,2.75,-150
-0.00014794,290,3.24,-150
5.8885e-05,10,76.8,-150
-0.00022045,20,72.83,-150
0.00011953,30,67.92,-150
0.0003791,40,62.78,-150
-0.00014584,50,57.46,-150
-0.00055973,60,50.46,-150
-0.00023907,70,43.81,-150
0.0012922,80,37.49,-150
-3.0441e-06,90,31.1,-150
-0.00064988,100,25.08,-150
0.00019626,110,20.96,-150
0.00033856,120,17.45,-150
-0.0005482,130,14.06,-150
-0.00031517,170,7.78,-150
-0.00083327,180,6.83,-150
-0.00019008,190,6.05,-150
0.0002537,200,5.19,-150
-7.8989e-05,210,4.41,-150
0.00032402,220,4.07,-150
0.00025478,230,3.84,-150
-0.00010612,240,4.08,-150
-0.00012577,250,3.96,-150
-4.0399e-05,260,3.85,-150
-0.00016737,270,3.86,-150
0.00015313,280,4.25,-150
-0.00010882,290,4.74,-150
-5.4671e-05,10,78.8,-150
-0.00016145,20,74.83,-150
0.00052277,30,69.92,-150
-0.00012396,40,64.78,-150
-0.00013423,50,59.46,-150
-9.0352e-05,60,52.46,-150
5.0038e-05,70,45.81,-150
-0.00032289,80,39.49,-150
-7.2851e-05,90,33.1,-150
0.00018752,100,27.08,-150
-5.3361e-05,110,22.96,-150
0.001308,120,19.45,-150
0.00035022,130,16.06,-150
0.0012641,170,9.78,-150
-0.00063463,180,8.83,-150
0.00029791,190,8.05,-150
0.00030648,200,7.19,-150
-0.00022463,210,6.41,-150
0.00020113,220,6.07,-150
0.00010521,230,5.84,-150
-3.6295e-05,240,6.08,-150
-0.00035206,250,5.96,-150
0.00016422,260,5.85,-150
-8.6451e-05,270,5.86,-150
-1.2699e-05,280,6.25,-150
-5.4685e-05,290,6.74,-150
0.0002739,10,83.8,-150
0.00010557,20,79.83,-150
-0.00027381,30,74.92,-150
-1.7553e-05,40,69.78,-150
0.00067571,50,64.46,-150
3.238e-05,60,57.46,-150
0.0009373,70,50.81,-150
0.00082481,80,44.49,-150
-0.0002102,90,38.1,-150
-0.00082365,100,32.08,-150
6.6753e-05,110,27.96,-150
-0.00043842,120,24.45,-150
-0.0036989,130,21.06,-150
-0.00054741,170,14.78,-150
0.00077467,180,13.83,-150
-0.00055834,190,13.05,-150
-0.00032363,200,12.19,-150
-0.00043571,210,11.41,-150
-0.00023003,220,11.07,-150
-0.00029195,230,10.84,-150
0.00025033,240,11.08,-150
-0.00014533,250,10.96,-150
1.9939e-05,260,10.85,-150
0.00020896,270,10.86,-150
-0.00044896,280,11.25,-150
7.212e-05,290,11.74,-150
-0.00020176,10,93.8,-150
0.00015474,20,89.83,-150
0.00020423,30,84.92,-150
-0.00043527,40,79.78,-150
3.2492e-05,50,74.46,-150
-0.0015481,60,67.46,-150
-0.00037042,70,60.81,-150
0.00039596,80,54.49,-150
0.00071847,90,48.1,-150
-0.00090386,100,42.08,-150
0.00092045,110,37.96,-150
0.0052652,120,34.45,-150
-0.0041639,130,31.06,-150
-0.0001419,170,24.78,-150
0.00082321,180,23.83,-150
-0.00053134,190,23.05,-150
-0.00033999,200,22.19,-150
-0.0002802,210,21.41,-150
-0.00029348,220,21.07,-150
-0.00024806,230,20.84,-150
0.00016499,240,21.08,-150
-0.00014494,250,20.96,-150
0.00015824,260,20.85,-150
-0.00011806,270,20.86,-150
-0.00044619,280,21.25,-150
0.00012583,290,21.74,-150
