"p","Points:0","Points:1","Points:2"
-9.98e-15,10,75.3,-150
-2.5944e-13,20,71.33,-150
-3.7345e-12,30,66.42,-150
-9.0402e-11,40,61.28,-150
5.183e-11,50,55.96,-150
1.1211e-08,60,48.96,-150
5.2754e-08,70,42.31,-150
4.2024e-07,80,35.99,-150
-4.4902e-06,90,29.6,-150
-5.5884e-06,100,23.58,-150
-0.00047039,110,19.46,-150
-0.0003064,120,15.95,-150
0.00073191,130,12.56,-150
-0.0006258,170,6.28,-150
0.00011686,180,5.33,-150
0.00014203,190,4.55,-150
2.3571e-06,200,3.69,-150
-2.0378e-06,210,2.91,-150
5.3945e-07,220,2.57,-150
-2.2198e-08,230,2.34,-150
-7.4265e-09,240,2.58,-150
-6.7072e-11,250,2.46,-150
2.8039e-11,260,2.35,-150
2.2087e-13,270,2.36,-150
-1.2195e-13,280,2.75,-150
-1.2655e-14,290,3.24,-150
1.4587e-15,10,76.8,-150
-6.2953e-14,20,72.83,-150
6.1219e-13,30,67.92,-150
3.2423e-11,40,62.78,-150
8.5685e-10,50,57.46,-150
1.7702e-08,60,50.46,-150
-2.3372e-07,70,43.81,-150
1.1284e-06,80,37.49,-150
1.4863e-05,90,31.1,-150
6.6326e-05,100,25.08,-150
-0.00037361,110,20.96,-150
-0.0007156,120,17.45,-150
0.00082437,130,14.06,-150
0.00045513,170,7.78,-150
-0.00036173,180,6.83,-150
0.00021327,190,6.05,-150
-1.2764e-05,200,5.19,-150
3.3651e-06,210,4.41,-150
1.2103e-06,220,4.07,-150
1.9155e-08,230,3.84,-150
-9.8238e-09,240,4.08,-150
3.1871e-10,250,3.96,-150
1.714e-11,260,3.85,-150
-1.3434e-12,270,3.86,-150
-1.9813e-13,280,4.25,-150
-9.4152e-15,290,4.74,-150
-5.0339e-15,10,78.8,-150
-5.5921e-14,20,74.83,-150
-8.0224e-13,30,69.92,-150
-1.2747e-11,40,64.78,-150
-1.0194e-09,50,59.46,-150
-1.2149e-08,60,52.46,-150
4.4234e-09,70,45.81,-150
-3.7937e-07,80,39.49,-150
1.1426e-05,90,33.1,-150
-2.8083e-05,100,27.08,-150
-0.00020053,110,22.96,-150
-0.00029212,120,19.45,-150
-0.0012756,130,16.06,-150
-0.00093905,170,9.78,-150
-0.00028051,180,8.83,-150
1.9681e-05,190,8.05,-150
-1.3048e-05,200,7.19,-150
-4.3624e-06,210,6.41,-150
-1.2166e-06,220,6.07,-150
8.5486e-08,230,5.84,-150
8.7935e-09,240,6.08,-150
3.3736e-10,250,5.96,-150
-1.0063e-10,260,5.85,-150
-1.8286e-12,270,5.86,-150
1.6578e-13,280,6.25,-150
9.2115e-15,290,6.74,-150
1.1496e-15,10,83.8,-150
5.3761e-14,20,79.83,-150
8.3296e-13,30,74.92,-150
4.0329e-11,40,69.78,-150
1.5048e-10,50,64.46,-150
5.3731e-09,60,57.46,-150
3.6197e-08,70,50.81,-150
-1.2803e-06,80,44.49,-150
5.3762e-06,90,38.1,-150
1.4395e-05,100,32.08,-150
0.0002455,110,27.96,-150
0.00081984,120,24.45,-150
0.0043094,130,21.06,-150
-0.00018495,170,14.78,-150
-0.00011459,180,13.83,-150
-0.00049636,190,13.05,-150
7.2653e-05,200,12.19,-150
3.5369e-08,210,11.41,-150
1.1743e-06,220,11.07,-150
-1.4184e-07,230,10.84,-150
-2.8688e-09,240,11.08,-150
5.7346e-12,250,10.96,-150
6.8824e-11,260,10.85,-150
2.548e-12,270,10.86,-150
-2.1084e-14,280,11.25,-150
-6.1288e-15,290,11.74,-150
-3.5216e-16,10,93.8,-150
-1.1148e-14,20,89.83,-150
-3.0471e-13,30,84.92,-150
-4.2523e-12,40,79.78,-150
-8.9611e-11,50,74.46,-150
-2.2717e-09,60,67.46,-150
-1.2908e-08,70,60.81,-150
2.8565e-07,80,54.49,-150
8.4368e-06,90,48.1,-150
-8.8917e-05,100,42.08,-150
0.00042313,110,37.96,-150
0.0018776,120,34.45,-150
0.00090024,130,31.06,-150
-0.0075105,170,24.78,-150
0.00013084,180,23.83,-150
-0.00072813,190,23.05,-150
5.1495e-05,200,22.19,-150
-6.768e-06,210,21.41,-150
-2.3207e-06,220,21.07,-150
1.3399e-08,230,20.84,-150
6.6394e-09,240,21.08,-150
-5.7957e-10,250,20.96,-150
-7.3652e-11,260,20.85,-150
-7.0272e-13,270,20.86,-150
9.1347e-14,280,21.25,-150
5.7126e-15,290,21.74,-150
