"p","Points:0","Points:1","Points:2"
-0.0012381,10,75.3,-150
-0.00093386,20,71.33,-150
-0.0012472,30,66.42,-150
-0.0010305,40,61.28,-150
-0.000388,50,55.96,-150
0.00066933,60,48.96,-150
0.0012825,70,42.31,-150
0.00014313,80,35.99,-150
-0.0040364,90,29.6,-150
-0.00095746,100,23.58,-150
-0.00026579,110,19.46,-150
0.0011718,120,15.95,-150
0.003537,130,12.56,-150
0.00023067,170,6.28,-150
0.00098992,180,5.33,-150
4.0512e-05,190,4.55,-150
-5.3747e-05,200,3.69,-150
-0.00020252,210,2.91,-150
8.3544e-05,220,2.57,-150
-0.00040897,230,2.34,-150
9.1939e-05,240,2.58,-150
0.00020394,250,2.46,-150
0.00020701,260,2.35,-150
-7.476e-05,270,2.36,-150
0.00032244,280,2.75,-150
-0.00021899,290,3.24,-150
-0.0013985,10,76.8,-150
0.00016474,20,72.83,-150
0.00092098,30,67.92,-150
-0.00076346,40,62.78,-150
0.0022567,50,57.46,-150
0.0018827,60,50.46,-150
-0.0025966,70,43.81,-150
-0.00097977,80,37.49,-150
0.0034991,90,31.1,-150
0.0026575,100,25.08,-150
-0.00039722,110,20.96,-150
-0.005383,120,17.45,-150
0.00011098,130,14.06,-150
0.00049012,170,7.78,-150
0.000907,180,6.83,-150
0.00010768,190,6.05,-150
8.2125e-05,200,5.19,-150
-0.00016955,210,4.41,-150
1.7987e-05,220,4.07,-150
-0.00012475,230,3.84,-150
-7.1477e-05,240,4.08,-150
0.00010982,250,3.96,-150
0.00010086,260,3.85,-150
-3.0461e-05,270,3.86,-150
0.0001714,280,4.25,-150
-0.00017728,290,4.74,-150
0.0013382,10,78.8,-150
0.00089788,20,74.83,-150
0.00049275,30,69.92,-150
-0.0002086,40,64.78,-150
-0.0016501,50,59.46,-150
0.00038067,60,52.46,-150
-0.00036427,70,45.81,-150
-0.0031497,80,39.49,-150
0.0026892,90,33.1,-150
0.00080435,100,27.08,-150
-0.0039468,110,22.96,-150
-0.0017264,120,19.45,-150
-0.0041014,130,16.06,-150
-0.00085821,170,9.78,-150
-0.0013013,180,8.83,-150
-0.00019247,190,8.05,-150
7.8078e-05,200,7.19,-150
7.6042e-06,210,6.41,-150
-7.3067e-05,220,6.07,-150
-0.00024782,230,5.84,-150
-0.00015902,240,6.08,-150
-3.4316e-05,250,5.96,-150
-6.6592e-05,260,5.85,-150
5.1832e-05,270,5.86,-150
-2.6718e-05,280,6.25,-150
-1.5817e-05,290,6.74,-150
6.7496e-05,10,83.8,-150
5.1376e-05,20,79.83,-150
0.0012091,30,74.92,-150
0.0001092,40,69.78,-150
-1.6239e-05,50,64.46,-150
-0.00019746,60,57.46,-150
-0.00067449,70,50.81,-150
-4.2715e-05,80,44.49,-150
-0.00094272,90,38.1,-150
-0.0012492,100,32.08,-150
0.00010709,110,27.96,-150
-0.0013561,120,24.45,-150
0.00032441,130,21.06,-150
-0.00065152,170,14.78,-150
0.00024464,180,13.83,-150
-0.00014345,190,13.05,-150
-0.00014048,200,12.19,-150
0.00025148,210,11.41,-150
-1.9267e-05,220,11.07,-150
0.00023043,230,10.84,-150
-0.00012122,240,11.08,-150
-0.00020611,250,10.96,-150
-8.2527e-05,260,10.85,-150
1.8527e-05,270,10.86,-150
-0.00011496,280,11.25,-150
0.00025324,290,11.74,-150
0.00021744,10,93.8,-150
0.00052636,20,89.83,-150
0.0017642,30,84.92,-150
-0.00049283,40,79.78,-150
1.3337e-05,50,74.46,-150
0.0011155,60,67.46,-150
0.00040625,70,60.81,-150
-0.00073977,80,54.49,-150
0.00041412,90,48.1,-150
-0.00021057,100,42.08,-150
0.0021137,110,37.96,-150
-0.0015877,120,34.45,-150
0.0034792,130,31.06,-150
0.00039927,170,24.78,-150
-0.00092781,180,23.83,-150
-0.00069806,190,23.05,-150
0.00019696,200,22.19,-150
0.00032153,210,21.41,-150
9.5713e-05,220,21.07,-150
-0.00011743,230,20.84,-150
-0.0002617,240,21.08,-150
-0.00022615,250,20.96,-150
-0.0001749,260,20.85,-150
0.00011673,270,20.86,-150
6.0475e-05,280,21.25,-150
0.00011729,290,21.74,-150
