"p","Points:0","Points:1","Points:2"
3.8848e-22,10,75.3,-150
3.6806e-20,20,71.33,-150
5.3696e-19,30,66.42,-150
-8.4066e-17,40,61.28,-150
-6.7516e-15,50,55.96,-150
-2.9775e-13,60,48.96,-150
-1.6974e-12,70,42.31,-150
8.1826e-10,80,35.99,-150
-2.0769e-08,90,29.6,-150
3.684e-07,100,23.58,-150
-1.4454e-06,110,19.46,-150
6.2208e-05,120,15.95,-150
-0.00097208,130,12.56,-150
1.1139e-05,170,6.28,-150
4.7685e-07,180,5.33,-150
4.4517e-08,190,4.55,-150
-8.9133e-10,200,3.69,-150
7.8604e-12,210,2.91,-150
3.9582e-13,220,2.57,-150
-4.0165e-15,230,2.34,-150
-3.1025e-16,240,2.58,-150
-4.5167e-18,250,2.46,-150
-5.181e-20,260,2.35,-150
-6.1193e-23,270,2.36,-150
1.8768e-23,280,2.75,-150
1.6973e-25,290,3.24,-150
-1.9977e-22,10,76.8,-150
-1.7137e-20,20,72.83,-150
5.9573e-19,30,67.92,-150
1.3917e-16,40,62.78,-150
9.2717e-15,50,57.46,-150
4.6982e-13,60,50.46,-150
1.5856e-11,70,43.81,-150
-3.2812e-10,80,37.49,-150
-1.852e-08,90,31.1,-150
5.9948e-07,100,25.08,-150
3.4722e-06,110,20.96,-150
-6.8893e-05,120,17.45,-150
-0.00049529,130,14.06,-150
-2.9849e-05,170,7.78,-150
-6.5409e-07,180,6.83,-150
-6.8388e-08,190,6.05,-150
1.4696e-09,200,5.19,-150
-4.6509e-11,210,4.41,-150
-9.3992e-14,220,4.07,-150
1.2585e-14,230,3.84,-150
4.5541e-16,240,4.08,-150
3.9542e-18,250,3.96,-150
1.1128e-19,260,3.85,-150
1.0048e-21,270,3.86,-150
2.0823e-24,280,4.25,-150
-1.3987e-25,290,4.74,-150
-1.7657e-22,10,78.8,-150
-1.1887e-20,20,74.83,-150
5.5251e-19,30,69.92,-150
6.2425e-17,40,64.78,-150
5.4932e-15,50,59.46,-150
1.9141e-13,60,52.46,-150
3.3319e-12,70,45.81,-150
1.9813e-10,80,39.49,-150
1.7e-09,90,33.1,-150
-3.3889e-07,100,27.08,-150
6.5672e-06,110,22.96,-150
7.4295e-05,120,19.45,-150
-0.002047,130,16.06,-150
1.5241e-06,170,9.78,-150
8.838e-06,180,8.83,-150
4.201e-08,190,8.05,-150
-6.8152e-09,200,7.19,-150
-1.9814e-10,210,6.41,-150
1.0917e-11,220,6.07,-150
4.2052e-14,230,5.84,-150
-1.1971e-15,240,6.08,-150
-3.9896e-18,250,5.96,-150
-2.0284e-19,260,5.85,-150
-2.3331e-21,270,5.86,-150
-4.3336e-23,280,6.25,-150
-5.7974e-26,290,6.74,-150
4.747e-24,10,83.8,-150
7.0065e-22,20,79.83,-150
-8.1015e-21,30,74.92,-150
-2.5207e-18,40,69.78,-150
-1.3887e-16,50,64.46,-150
6.0189e-15,60,57.46,-150
5.6818e-13,70,50.81,-150
2.5012e-11,80,44.49,-150
1.345e-09,90,38.1,-150
6.3165e-08,100,32.08,-150
-1.1519e-06,110,27.96,-150
4.979e-05,120,24.45,-150
0.00046468,130,21.06,-150
0.00031345,170,14.78,-150
1.286e-05,180,13.83,-150
9.5711e-07,190,13.05,-150
-4.6464e-08,200,12.19,-150
1.0227e-09,210,11.41,-150
3.558e-11,220,11.07,-150
-1.7478e-13,230,10.84,-150
2.5786e-15,240,11.08,-150
1.4036e-17,250,10.96,-150
1.2505e-18,260,10.85,-150
3.767e-20,270,10.86,-150
5.3685e-22,280,11.25,-150
-1.8121e-24,290,11.74,-150
1.353e-25,10,93.8,-150
-4.1455e-24,20,89.83,-150
-1.2364e-21,30,84.92,-150
-4.7707e-20,40,79.78,-150
-1.421e-18,50,74.46,-150
2.2004e-16,60,67.46,-150
2.107e-14,70,60.81,-150
2.3526e-12,80,54.49,-150
1.6914e-10,90,48.1,-150
7.2609e-09,100,42.08,-150
-1.6125e-07,110,37.96,-150
6.1676e-06,120,34.45,-150
-6.6865e-05,130,31.06,-150
-1.0014e-05,170,24.78,-150
3.3479e-06,180,23.83,-150
-9.94e-08,190,23.05,-150
4.9753e-09,200,22.19,-150
1.6244e-13,210,21.41,-150
-9.3672e-13,220,21.07,-150
-2.8122e-14,230,20.84,-150
-5.3531e-16,240,21.08,-150
-1.7307e-18,250,20.96,-150
6.4048e-20,260,20.85,-150
2.349e-21,270,20.86,-150
-1.1514e-23,280,21.25,-150
-4.0993e-25,290,21.74,-150
