"p","Points:0","Points:1","Points:2"
0.0002974,10,75.3,-150
-0.00083318,20,71.33,-150
0.00070067,30,66.42,-150
-0.0018371,40,61.28,-150
-0.0021461,50,55.96,-150
0.002731,60,48.96,-150
0.0025645,70,42.31,-150
0.0013014,80,35.99,-150
0.00033249,90,29.6,-150
0.0011888,100,23.58,-150
-0.00074797,110,19.46,-150
-0.0054979,120,15.95,-150
-0.0024583,130,12.56,-150
0.00084122,170,6.28,-150
-0.00018915,180,5.33,-150
-0.00027693,190,4.55,-150
0.0001679,200,3.69,-150
0.00015814,210,2.91,-150
-7.7217e-05,220,2.57,-150
-2.7582e-05,230,2.34,-150
7.1208e-05,240,2.58,-150
-6.3533e-05,250,2.46,-150
-9.8307e-05,260,2.35,-150
-0.00010651,270,2.36,-150
2.7282e-05,280,2.75,-150
-0.00015254,290,3.24,-150
7.4462e-05,10,76.8,-150
0.00017704,20,72.83,-150
0.0010851,30,67.92,-150
-0.00054133,40,62.78,-150
0.00035205,50,57.46,-150
0.0008759,60,50.46,-150
0.0009808,70,43.81,-150
0.0008348,80,37.49,-150
-0.0014802,90,31.1,-150
0.0021678,100,25.08,-150
-0.0013522,110,20.96,-150
0.00073908,120,17.45,-150
0.0071406,130,14.06,-150
-0.0005574,170,7.78,-150
2.6357e-05,180,6.83,-150
-6.8514e-05,190,6.05,-150
0.00010447,200,5.19,-150
0.00013233,210,4.41,-150
-3.5032e-05,220,4.07,-150
-1.5592e-06,230,3.84,-150
-3.2321e-05,240,4.08,-150
-1.7717e-05,250,3.96,-150
-0.00017872,260,3.85,-150
-8.4666e-05,270,3.86,-150
5.4856e-05,280,4.25,-150
-0.00010701,290,4.74,-150
-0.00037284,10,78.8,-150
0.0011641,20,74.83,-150
-8.1094e-05,30,69.92,-150
0.0012835,40,64.78,-150
0.00067611,50,59.46,-150
0.00078025,60,52.46,-150
-0.0010285,70,45.81,-150
0.00054937,80,39.49,-150
0.0010774,90,33.1,-150
-0.00064018,100,27.08,-150
0.0038323,110,22.96,-150
-0.0027443,120,19.45,-150
-0.0014941,130,16.06,-150
-0.00073267,170,9.78,-150
0.00046376,180,8.83,-150
-0.00012347,190,8.05,-150
0.00016826,200,7.19,-150
-8.2351e-06,210,6.41,-150
-3.5679e-05,220,6.07,-150
0.0001809,230,5.84,-150
-0.00027595,240,6.08,-150
8.6647e-05,250,5.96,-150
-0.00024026,260,5.85,-150
-2.3138e-05,270,5.86,-150
7.9944e-05,280,6.25,-150
-1.3883e-05,290,6.74,-150
0.00019206,10,83.8,-150
0.0005715,20,79.83,-150
-0.00074676,30,74.92,-150
0.00049527,40,69.78,-150
-0.00014805,50,64.46,-150
0.00070035,60,57.46,-150
-0.0028157,70,50.81,-150
9.2583e-05,80,44.49,-150
0.002906,90,38.1,-150
0.00050297,100,32.08,-150
0.00054344,110,27.96,-150
0.00047013,120,24.45,-150
0.0091863,130,21.06,-150
0.0010443,170,14.78,-150
-0.0011522,180,13.83,-150
4.9641e-05,190,13.05,-150
0.00010154,200,12.19,-150
-0.00015367,210,11.41,-150
-0.00022115,220,11.07,-150
0.00017149,230,10.84,-150
-0.00032562,240,11.08,-150
-3.9379e-05,250,10.96,-150
-0.00013543,260,10.85,-150
8.4083e-06,270,10.86,-150
2.3154e-05,280,11.25,-150
0.00012055,290,11.74,-150
-0.00052281,10,93.8,-150
0.00073853,20,89.83,-150
0.0016453,30,84.92,-150
0.00023258,40,79.78,-150
-0.00016119,50,74.46,-150
-0.00048571,60,67.46,-150
-0.0004587,70,60.81,-150
0.0011511,80,54.49,-150
0.0013201,90,48.1,-150
0.0018398,100,42.08,-150
0.0012303,110,37.96,-150
-0.0013828,120,34.45,-150
-0.0011792,130,31.06,-150
0.0018723,170,24.78,-150
0.00096512,180,23.83,-150
-0.00028701,190,23.05,-150
7.4497e-05,200,22.19,-150
-6.3741e-05,210,21.41,-150
-0.00027922,220,21.07,-150
0.00028498,230,20.84,-150
-0.00031129,240,21.08,-150
-4.9798e-05,250,20.96,-150
-0.00017781,260,20.85,-150
-0.00012927,270,20.86,-150
7.2091e-07,280,21.25,-150
-2.6372e-05,290,21.74,-150
