0,2.99,-2.45
0,2.85,-2.31
0,2.71,-2.17
0,2.57,-2.03
0,2.42,-1.88
0,2.28,-1.74
0,2.14,-1.6
0,2,-1.46
0,1.86,-1.32
-0.15,2.99,-2.45
-0.15,2.85,-2.31
-0.15,2.71,-2.17
-0.15,2.57,-2.03
-0.15,2.42,-1.88
-0.15,2.28,-1.74
-0.15,2.14,-1.6
-0.15,2,-1.46
-0.15,1.86,-1.32
-0.3,2.99,-2.45
-0.3,2.85,-2.31
-0.3,2.71,-2.17
-0.3,2.57,-2.03
-0.3,2.42,-1.88
-0.3,2.28,-1.74
-0.3,2.14,-1.6
-0.3,2,-1.46
-0.3,1.86,-1.32
-0.45,2.99,-2.45
-0.45,2.85,-2.31
-0.45,2.71,-2.17
-0.45,2.57,-2.03
-0.45,2.42,-1.88
-0.45,2.28,-1.74
-0.45,2.14,-1.6
-0.45,2,-1.46
-0.45,1.86,-1.32
-0.6,2.99,-2.45
-0.6,2.85,-2.31
-0.6,2.71,-2.17
-0.6,2.57,-2.03
-0.6,2.42,-1.88
-0.6,2.28,-1.74
-0.6,2.14,-1.6
-0.6,2,-1.46
-0.6,1.86,-1.32
-0.75,2.99,-2.45
-0.75,2.85,-2.31
-0.75,2.71,-2.17
-0.75,2.57,-2.03
-0.75,2.42,-1.88
-0.75,2.28,-1.74
-0.75,2.14,-1.6
-0.75,2,-1.46
-0.75,1.86,-1.32
-0.9,2.99,-2.45
-0.9,2.85,-2.31
-0.9,2.71,-2.17
-0.9,2.57,-2.03
-0.9,2.42,-1.88
-0.9,2.28,-1.74
-0.9,2.14,-1.6
-0.9,2,-1.46
-0.9,1.86,-1.32
-1.05,2.99,-2.45
-1.05,2.85,-2.31
-1.05,2.71,-2.17
-1.05,2.57,-2.03
-1.05,2.42,-1.88
-1.05,2.28,-1.74
-1.05,2.14,-1.6
-1.05,2,-1.46
-1.05,1.86,-1.32
-1.2,2.99,-2.45
-1.2,2.85,-2.31
-1.2,2.71,-2.17
-1.2,2.57,-2.03
-1.2,2.42,-1.88
-1.2,2.28,-1.74
-1.2,2.14,-1.6
-1.2,2,-1.46
-1.2,1.86,-1.32
