x y z
73.6026 73.6447 -150.0000
71.3689 70.9031 -150.0000
69.2335 68.0842 -150.0000
67.1991 65.1915 -150.0000
65.2683 62.2287 -150.0000
63.4434 59.1995 -150.0000
61.7268 56.1077 -150.0000
60.1206 52.9571 -150.0000
200.0000 9.1200 -150.0000
199.9688 10.8870 -150.0000
199.8751 12.6519 -150.0000
199.7191 14.4123 -150.0000
199.5010 16.1662 -150.0000
199.2211 17.9112 -150.0000
198.8796 19.6452 -150.0000
198.4771 21.3661 -150.0000
198.0141 23.0717 -150.0000
197.4910 24.7598 -150.0000
196.9086 26.4284 -150.0000
196.2676 28.0754 -150.0000
195.5688 29.6987 -150.0000
194.8131 31.2963 -150.0000
194.0013 32.8662 -150.0000
193.1346 34.4064 -150.0000
192.2140 35.9151 -150.0000
191.2407 37.3902 -150.0000
190.2158 38.8300 -150.0000
189.1407 40.2328 -150.0000
188.0167 41.5966 -150.0000
186.8452 42.9199 -150.0000
185.6277 44.2009 -150.0000
184.3656 45.4381 -150.0000
183.0606 46.6299 -150.0000
181.7143 47.7749 -150.0000
180.3284 48.8716 -150.0000
178.9046 49.9186 -150.0000
177.4447 50.9146 -150.0000
175.9505 51.8584 -150.0000
174.4238 52.7488 -150.0000
172.8667 53.5848 -150.0000
171.2810 54.3651 -150.0000
169.6687 55.0889 -150.0000
168.0318 55.7553 -150.0000
166.3724 56.3635 -150.0000
164.6925 56.9126 -150.0000
162.9943 57.4020 -150.0000
161.2798 57.8310 -150.0000
159.5513 58.1992 -150.0000
157.8108 58.5061 -150.0000
156.0606 58.7513 -150.0000
154.3028 58.9345 -150.0000
152.5396 59.0555 -150.0000
150.7732 59.1140 -150.0000
149.0059 59.1101 -150.0000
147.2398 59.0438 -150.0000
145.4772 58.9150 -150.0000
143.7202 58.7241 -150.0000
141.9710 58.4711 -150.0000
140.2319 58.1566 -150.0000
138.5050 57.7807 -150.0000
136.7925 57.3441 -150.0000
135.0965 56.8472 -150.0000
133.4190 56.2907 -150.0000
131.7623 55.6752 -150.0000
130.1284 55.0016 -150.0000
128.5193 54.2706 -150.0000
126.9371 53.4833 -150.0000
125.3836 52.6405 -150.0000
123.8609 51.7433 -150.0000
122.3709 50.7929 -150.0000
120.9154 49.7905 -150.0000
119.4962 48.7372 -150.0000
118.1152 47.6344 -150.0000
116.7740 46.4835 -150.0000
115.4743 45.2859 -150.0000
114.2177 44.0431 -150.0000
113.0058 42.7567 -150.0000
111.8402 41.4283 -150.0000
110.7222 40.0595 -150.0000
109.6533 38.6521 -150.0000
108.6348 37.2077 -150.0000
107.6680 35.7283 -150.0000
106.7541 34.2156 -150.0000
105.8942 32.6716 -150.0000
105.0894 31.0981 -150.0000
104.3407 29.4972 -150.0000
103.6491 27.8708 -150.0000
103.0154 26.2210 -150.0000
